1671660434,16.03
1671660574,16.02
1671660714,15.99
1671660854,16.02
1671660994,15.98
1671661135,15.99
1671661275,15.98
1671661414,15.96
1671661554,15.96
1671661694,15.93
1671661835,15.93
1671661975,15.91
1671662114,15.92
1671662254,15.91
1671662395,15.91
1671662535,15.90
1671662675,15.88
1671662815,15.88
1671662955,15.88
1671663095,15.89
1671663235,15.86
1671663375,15.87
1671663515,15.82
1671663655,15.82
1671663795,15.81
1671663935,15.83
1671664075,15.80
1671664215,15.81
1671664355,15.76
1671664495,15.75
